Type,Hindi_name,Symptoms,Cause,Prevention
Corn_(maize)___healthy,स्वस्थ मक्का,,,
Grape___Black_rot,अंगूर का काला सड़न,"Symptoms of black rot primarily appear on grape leaves, berries, and stems. They include:  Leaf Lesions: Early symptoms manifest as small, reddish-brown spots on the upper side of the leaves. As the disease progresses, these spots enlarge, turning brown with distinct yellow halos around the lesions. The centers of the lesions may drop out, giving the leaves a ""shot-hole"" appearance.  Fruit Infection: Infected grapes develop small, circular, or irregularly shaped lesions with dark brown to black centers. The lesions may also have a yellow halo around them. As the fruit matures, the lesions become sunken and hard, resembling dried, black mummies.  Stem Infection: Infections can also occur on young stems and tendrils, causing dark brown to black lesions with cracked surfaces.  Leaf Curling and Defoliation: Severe infections can lead to leaf curling, wilting, and premature defoliation, weakening the vine and reducing fruit quality and yield.","Black rot is caused by the fungus Guignardia bidwellii. The fungus overwinters on infected grape canes, fallen leaves, and fruit mummies left on the ground. In the spring, during wet and warm conditions, the fungus produces spores that are spread by rain and wind to infect new grapevine tissues.","While it is challenging to completely cure black rot once it has infected the grapevines, several management practices can help control the disease:  Sanitation: Clean up and remove infected plant debris, including fallen leaves and mummified fruit from around the grapevines. This helps reduce the primary source of infection for the following year.  Pruning: Properly prune the grapevines to improve air circulation within the canopy, which reduces humidity and dampness that favor disease development.  Fungicides: In commercial vineyards or severe cases, applying fungicides can be an effective way to control black rot. Fungicides need to be applied preventatively and at specific intervals during the growing season, depending on the weather and disease pressure.  Resistant Varieties: Some grapevine varieties are less susceptible to black rot. Planting resistant cultivars can help reduce the risk of infection.  Organic Alternatives: Some organic fungicides, such as sulfur-based sprays, can be used to manage black rot. They may require more frequent applications than synthetic fungicides."
Grape___Esca_(Black_Measles),अंगूर काला खसरा,"Esca is characterized by several distinctive symptoms, which can vary depending on the stage of the disease:  Tiger Stripes: One of the most noticeable early symptoms is the appearance of ""tiger stripes"" on the leaves. These are yellow or reddish-brown streaks between the leaf veins, creating a striped pattern.  Necrosis: The tiger stripes often progress to necrosis, where the tissue between the veins dies, turning brown or black. This necrosis can spread throughout the leaf, eventually causing it to drop prematurely.  Foliar Symptoms: As the disease advances, leaves may show other patterns, such as ""fisheye"" spots, ""esca proper"" lesions (circular spots with a reddish-brown center and yellow border), and ""taches de vin"" (small, dark spots surrounded by a yellow halo).  Trunk Symptoms: Infected grapevines can develop dark streaks on their trunk, often referred to as ""black measles,"" which may be accompanied by gumming or resin exudates.  Fruit Symptoms: In some cases, infected fruit clusters may display ""bird's eye"" necrosis, where individual berries show circular, dark spots that resemble bird's eyes.","Esca is caused by several fungi, including Phaeoacremonium spp., Phaeomoniella chlamydospora, and Fomitiporia mediterranea. These fungi are commonly found in vineyards, and infections often occur through pruning wounds or natural openings in the vines. The disease is more likely to affect older vines, although it can impact younger plants as well.","Managing Grape Esca is challenging due to its complexity and the limited effectiveness of curative treatments. The disease cannot be completely cured once established, so preventive measures are crucial. Here are some management strategies:  Sanitation: Promptly prune and remove infected wood from the vineyard, especially during the dormant season. This helps reduce the inoculum source for new infections.  Proper Pruning Techniques: Use clean and sharp pruning tools, and avoid pruning during wet weather to minimize infection risk.  Fungicides: Although fungicides have limited efficacy for curing Esca, preventive applications during the growing season may help reduce the spread of the disease. Consult with a viticulturist or agricultural expert for appropriate fungicide recommendations.  Vineyard Health: Maintain overall vineyard health by providing proper irrigation, balanced nutrition, and minimizing stress factors that may make vines more susceptible to Esca.  Use of Resistant Varieties: Some grapevine varieties exhibit partial resistance to Esca. Consider planting these varieties in regions where the disease is prevalent."
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),अंगूर का पत्ती का धब्बा,"Symptoms of Isariopsis Leaf Spot typically appear on grape leaves, but other plant parts, such as stems and fruit, can also be affected. They include:  Small Spots: The disease starts with the development of small, dark spots on the upper surface of the leaves. These spots may be circular or irregularly shaped and have a reddish-brown to purple color.  Spots with Light Centers: As the disease progresses, the center of the spots may become paler, often turning grayish-white or tan, which creates a distinctive ""target"" appearance.  Leaf Lesions: Over time, the spots may coalesce and expand, leading to the formation of larger lesions on the leaves.  Leaf Yellowing: Infected leaves may exhibit yellowing around the lesions and between the veins, leading to overall leaf discoloration.  Premature Leaf Drop: Severe infections can cause premature defoliation, leading to a weakening of the grapevine and potentially reducing fruit quality and yield.","Isariopsis Leaf Spot is caused by the fungus Isariopsis spp. The fungus can survive in infected plant debris, such as fallen leaves, and can overwinter in the vineyard. In the spring, fungal spores are released and spread to new plant tissues through rain, wind, or irrigation splashing, initiating new infections.","While it is challenging to completely cure Isariopsis Leaf Spot once it has infected the grapevines, several management practices can help control the disease:  Sanitation: Clean up and remove infected plant debris, including fallen leaves, from around the grapevines. This helps reduce the primary source of infection for the following year.  Pruning: Properly prune the grapevines to improve air circulation within the canopy, which reduces humidity and dampness that favor disease development.  Fungicides: In severe cases or when the disease is likely to be problematic, fungicides can be applied preventatively to protect the grapevine from infection. Consult with local agricultural experts or extension offices for appropriate fungicides and application timings.  Resistant Varieties: Some grapevine varieties are less susceptible to Isariopsis Leaf Spot. Planting resistant cultivars can help reduce the risk of infection.  Organic Alternatives: Some organic fungicides, such as copper-based sprays, can be used to manage Isariopsis Leaf Spot. They may require more frequent applications than synthetic fungicides."
Grape___healthy,स्वस्थ अंगूर,,,
Orange___Haunglongbing_(Citrus_greening),सिट्रस ग्रीनिंग रोग,"HLB symptoms can vary depending on the citrus tree's age, the severity of the infection, and the citrus variety. Common symptoms include:  Yellowing: Yellowing of the leaves, called ""chlorosis,"" is one of the earliest and most distinctive symptoms of HLB. The yellowing typically starts in a mottled pattern, affecting random areas of the canopy.  Asymmetrical Leaf Blotching: HLB-infected leaves often exhibit asymmetrical blotches of yellowing and green on the same leaf, a pattern known as ""blotchy mottle.""  Vein Yellowing: The veins of the leaves may remain green while the surrounding tissue turns yellow, creating a ""green island"" effect.  Twisted Growth and Small Fruits: Affected branches may exhibit stunted, twisted, or ""witches' broom"" growth. The fruits on HLB-infected trees are often small, lopsided, and poorly colored. ","HLB is primarily transmitted by a tiny insect called the Asian citrus psyllid (Diaphorina citri). When the psyllid feeds on an infected citrus tree, it can acquire the bacterium and then transmit it to healthy citrus trees as it feeds on them. Once inside a healthy tree, the bacterium spreads and colonizes the tree's phloem vessels, disrupting the flow of nutrients, water, and sugars throughout the plant. This eventually leads to the decline of the tree and the development of various symptoms.","As of now, there is no cure for Citrus Greening, and infected trees will eventually die. Management of the disease focuses on early detection, removal of infected trees, and control of the Asian citrus psyllid population to limit the spread of the disease. Here are some key management strategies:  Early Detection and Removal: Regularly inspect citrus trees for symptoms of HLB. If a tree is confirmed to be infected, it should be removed and properly disposed of to prevent further spread of the disease.  Use of Healthy Plant Material: When planting new citrus trees, use certified disease-free nursery stock to reduce the risk of introducing HLB.  Insect Control: Implement a comprehensive insect control program to manage the Asian citrus psyllid population. This may involve the use of insecticides, beneficial insects, and cultural practices to reduce psyllid infestations.  Quarantine Measures: In regions where HLB is present, implement strict quarantine measures to prevent the movement of infected plant material.  Research and Breeding: Researchers are actively working on developing HLB-resistant citrus varieties through breeding and genetic modification."
Peach___Bacterial_spot,आड़ू का जीवाणु पत्ती धब्बा रोग,"Symptoms of Bacterial Spot can appear on various parts of the peach tree, including leaves, fruit, and shoots. They include:  Leaf Lesions: Small, water-soaked lesions initially develop on the upper surface of the leaves. These lesions are often angular and have a dark, reddish-brown color, surrounded by a yellow halo.  Leaf Drop: Severely infected leaves may turn yellow, wilt, and drop prematurely, leading to defoliation, reduced photosynthesis, and overall tree stress.  Fruit Lesions: Infected fruits develop small, circular, raised lesions with dark centers and purplish margins. As the disease progresses, the lesions may coalesce, resulting in larger, irregularly shaped spots on the fruit.  Shoot Cankers: The bacteria can cause small, dark, sunken lesions (cankers) on young shoots and branches, leading to dieback.","Bacterial Spot is caused by the bacterium Xanthomonas arboricola pv. pruni. The bacterium overwinters in infected plant debris, cankers, or in buds and shoots. In spring, bacterial cells are spread to new growth and leaves through rain splashes, irrigation water, wind, and insects.","Currently, there is no cure for Bacterial Spot in infected peach trees, so the focus is on managing and preventing the disease. Here are some management strategies:  Sanitation: Remove and destroy any infected plant material, including fallen leaves, pruned branches, and mummified fruit. This helps reduce the source of inoculum for new infections in the following season.  Pruning: Prune infected branches during the dormant season, making sure to sterilize pruning tools between cuts to prevent further spread of the bacteria.  Copper-Based Sprays: Copper-based bactericides can be applied as preventive treatments during the growing season to protect the tree from infection. These sprays should be used according to the manufacturer's instructions and in combination with other management practices.  Avoid Overhead Watering: Minimize overhead irrigation and avoid wetting the foliage. Watering at the base of the tree helps reduce conditions conducive to bacterial growth and spread.  Resistant Varieties: Consider planting peach tree varieties that have shown some level of resistance to Bacterial Spot."
Peach___healthy,स्वस्थ आड़ू,,,
"Pepper,_bell___Bacterial_spot",शिमला मिर्च का जीवाणु पत्ती धब्बा रोग,"Symptoms of Bacterial Spot on bell peppers typically appear on leaves, fruit, and stems. They include:  Leaf Lesions: Small, water-soaked lesions initially develop on the upper surface of the leaves. These lesions are often dark, olive-green, or brown and have a slightly raised appearance.  Leaf Yellowing: The area surrounding the lesions may turn yellow, creating a distinctive halo effect.  Leaf Drop: Severely infected leaves may become distorted, curl, and drop prematurely, leading to defoliation and reduced photosynthesis.  Fruit Lesions: On the fruit, lesions are circular, dark, and slightly raised. As the disease progresses, the lesions may become sunken, giving the fruit a rough appearance.  Fruit Cracking: Infected fruit may develop cracks near the lesions, making them more susceptible to secondary infections and decay.","Bacterial Spot is caused by the bacterium Xanthomonas campestris pv. vesicatoria. The bacterium can survive in infected plant debris, including crop residues and weed hosts. It is spread through splashing water, rain, irrigation, contaminated tools, and human handling, leading to the rapid spread of the disease.","Currently, there is no cure for Bacterial Spot in infected bell pepper plants. The focus is on managing and preventing the disease through various strategies:  Sanitation: Remove and destroy any infected plant material, including infected leaves, stems, and fruit, to reduce the source of inoculum for new infections.  Crop Rotation: Avoid planting peppers and related crops in the same location year after year to reduce the buildup of bacterial populations in the soil.  Resistant Varieties: Consider planting bell pepper varieties that have shown some level of resistance to Bacterial Spot.  Copper-Based Sprays: Copper-based bactericides can be applied as preventive treatments during the growing season to protect the plants from infection. These sprays should be used according to the manufacturer's instructions and in combination with other management practices.  Water Management: Avoid overhead watering and minimize splashing water on the foliage, as it can help spread the bacteria."
"Pepper,_bell___healthy",स्वस्थ शिमला मिर्च,,,
Potato___Early_blight,आलू की अगेती झुलसा,"This is a common disease of potato occurring on the foliage at any stage of the growth and causes characteristic leaf spots and blight. Normally the disease symptoms become apparent during tuber bulking stage and develop leading to the harvest. The early blight is first observed on the plants as small, black lesions mostly on the older foliage. Spots enlarge, and by the time they are one-fourth inch in diameter or larger, concentric rings in a bull's eye pattern can be seen in the center of the diseased area. Tissue surrounding the spots may turn yellow. If high temperature and humidity occur at this time, much of the foliage is killed. Lesions on the stems are similar to those on leaves, sometimes girdling the plant if they occur near the soil line.","Potato early blight is caused by a fungus called Alternaria solani.                                                                                                     The fungus survives in infected plant debris or soil and spreads through spores.                                             Factors like warm and humid weather, overcrowding of plants, and poor air circulation can promote the disease.                                                                                                                                                                                                            The fungus attacks potato leaves, causing brown spots with concentric rings. It can reduce crop yield and quality.                                                                                                                                                                                                      Proper crop rotation, removing infected debris, and applying fungicides can help control early blight.","Prune or stake plants to improve air circulation and reduce fungal problems. Make sure to disinfect your pruning shears (one part bleach to 4 parts water) after each cut. Keep the soil under plants clean and free of garden debris. Add a layer of organic compost to prevent the spores from splashing back up onto vegetation. Drip irrigation and soaker hoses can be used to help keep the foliage dry. For best control, apply copper-based fungicides early, two weeks before disease normally appears or when weather forecasts predict a long period of wet weather. Alternatively, begin treatment when disease first appears, and repeat every 7-10 days for as long as needed. Containing copper and pyrethrins, Bonide® Garden Dust is a safe, one-step control for many insect attacks and fungal problems. For best results, cover both the tops and undersides of leaves with a thin uniform film or dust. Depending on foliage density, 10 oz will cover 625 sq ft. Repeat applications every 7-10 days, as needed. SERENADE Garden is a broad spectrum, preventative bio-fungicide recommended for the control or suppression of many important plant diseases. For best results, treat prior to foliar disease development or at the first sign of infection. Repeat at 7-day intervals or as needed. Remove and destroy all garden debris after harvest and practice crop rotation the following year. Burn or bag infected plant parts. Do NOT compost."
Potato___Late_blight,आलू की पछेती झुलसा,"Small water-soaked spots develop at the tips, margins or any other part of the leaf which enlarge to form irregular dark brown lesions surrounded by a light green halo.  During morning hours, a whitish cottony growth of the fungus is visible around the dark brown lesions on the under surface of the leaves especially when weather remains sufficiently humid or when there is dew fall in the morning hours.                                                                                                                                           In case of infection originating from infected tubers, elongated brown stripes develop on the stem from below the ground level and encircle it.  The lesions also appear on the stem near the growing point when the inoculum of the fungus comes from the infected plants.                                                                                                                                                   Infected tubers show irregular, shallow or sunken reddish brown patches. Inside infected tissue is spongy and rusty brown to varying depths. In sub-mountainous areas, the lesions on tubers are locally called ""Pathar Dag"". Later on, these lesions are often invaded by secondary pathogens especially in wet soils or in storage resulting into soft rot.  Smaller immature tubers are more prone to infection as compared to the larger ones and rotting is more in heavy wet soils.  Late blight does not spread from tuber to tuber in cold stores.","The primary source of the disease is infected seed tubers planted after cold storage.  Not all, but a few of the infected tubers give rise to primary sporangial inoculum which further infects the nearby plants creating a primary focus of infection in the field.  Some of the infected tubers do not sprout or are soon killed after sprouting giving patchy appearance in the field.","   Choose resistant potato varieties: Select potato types that have natural resistance to late blight. These varieties are less likely to get infected and can withstand the disease better.  Rotate crops: Avoid planting potatoes in the same area year after year. Instead, grow non-potato crops in between to disrupt the disease cycle and reduce the number of pathogens in the soil.  Clean up plant debris: Remove and destroy any infected plant parts like leaves, stems, and tubers at the end of the season. This helps eliminate disease-causing spores and prevents them from surviving and spreading.  Use fungicides: Consider applying fungicides to protect your potato plants. These chemicals can help prevent late blight infection. Follow the instructions on the product label to ensure safe and effective use.  By following these measures, you can minimize the risk of late blight and protect your potato crops from this destructive disease."
Potato___healthy,स्वस्थ आलू,,,
Raspberry___healthy,स्वस्थ रसभरी ,,,
Soybean___healthy,स्वस्थ सोयाबीन,,,
Squash___Powdery_mildew,स्क्वैश(कद्दू) का  पाउडर रूपी फफूंद,"Powdery white or grayish fungal growth on the leaves, stems, and sometimes fruits of squash plants. Initially, the powdery mildew appears as small spots or patches, which gradually spread and cover larger areas. Infected leaves may become distorted, turn yellow or brown, and eventually die. Severe infections can lead to stunted growth and reduced fruit production.","Squash powdery mildew is primarily caused by a fungal pathogen called Podosphaera xanthii. This pathogen belongs to a group of fungi known as powdery mildews. It specifically affects various squash plants, including zucchini, pumpkin, and butternut squash.  The fungus thrives in warm and dry conditions, with optimal growth occurring between 60°F and 80°F (15°C to 27°C). It spreads through airborne spores that are easily carried by wind, water, and insects. When these spores land on susceptible plant surfaces, they germinate and form a white or grayish powdery growth.","Plant resistant varieties: Choose squash varieties that are known to have resistance to powdery mildew. These varieties are less susceptible to the disease and can withstand infections better.  Proper spacing: Provide adequate spacing between squash plants to improve air circulation. Good airflow helps reduce humidity and prevents the development and spread of powdery mildew.  Watering techniques: Avoid overhead watering, which can promote the growth and spread of fungal spores. Instead, water at the base of the plants using drip irrigation or a soaker hose. Watering in the early morning allows foliage to dry quickly, reducing moisture levels.  Regular inspections: Monitor your squash plants regularly for any signs of powdery mildew. Early detection can help prevent the spread of the disease to other plants. If you notice any infected leaves, remove them immediately and dispose of them properly.  Fungicide applications: In severe cases or when prevention methods are not sufficient, you can consider using fungicides labeled for powdery mildew control. Follow the instructions and guidelines provided by the manufacturer for proper application and timing. Remember to consider the pre-harvest interval (PHI) before using any chemical treatments."
